x,y,micro_sector
0,56,125
0,57,126
0,60,127
0,63,128
0,65,129
0,68,130
1,51,123
1,53,124
1,54,125
1,55,125
1,56,125
1,57,126
1,58,126
1,59,127
1,60,127
1,61,127
1,62,128
1,63,128
1,64,129
1,65,129
1,66,129
1,67,130
1,68,130
1,69,130
1,70,130
1,71,131
1,73,132
2,48,122
2,49,123
2,50,123
2,51,123
2,52,124
2,53,124
2,54,125
2,55,125
2,56,125
2,57,126
2,58,126
2,59,127
2,60,127
2,61,127
2,62,128
2,63,128
2,64,129
2,65,129
2,66,129
2,67,130
2,68,130
2,69,130
2,70,131
2,71,131
2,72,132
2,73,132
2,74,132
2,75,132
2,76,133
3,46,122
3,47,122
3,48,122
3,49,123
3,50,123
3,51,123
3,52,124
3,53,124
3,54,124
3,55,125
3,56,125
3,57,126
3,58,126
3,59,127
3,60,127
3,61,127
3,62,128
3,63,128
3,64,129
3,65,129
3,66,129
3,67,130
3,68,130
3,69,130
3,70,131
3,71,131
3,72,132
3,73,132
3,74,132
3,75,133
3,76,133
3,77,133
3,78,133
4,46,122
4,47,122
4,48,122
4,49,122
4,50,123
4,51,123
4,52,124
4,53,124
4,54,124
4,55,125
4,56,125
4,57,126
4,58,126
4,59,127
4,60,127
4,61,127
4,62,128
4,63,128
4,64,129
4,65,129
4,66,129
4,67,130
4,68,130
4,69,130
4,70,131
4,71,131
4,72,132
4,73,132
4,74,132
4,75,133
4,76,133
4,77,133
4,78,134
4,79,134
4,80,134
5,43,120
5,44,121
5,45,121
5,46,122
5,47,122
5,48,122
5,49,122
5,50,123
5,51,123
5,52,124
5,53,124
5,54,124
5,55,125
5,56,125
5,57,126
5,58,126
5,59,127
5,60,127
5,61,127
5,62,128
5,63,128
5,64,129
5,65,129
5,66,129
5,67,130
5,68,130
5,69,131
5,70,131
5,71,131
5,72,132
5,73,132
5,74,132
5,75,133
5,76,133
5,77,133
5,78,134
5,79,134
5,80,134
5,81,135
6,41,120
6,42,120
6,43,120
6,44,121
6,45,121
6,46,121
6,47,122
6,48,122
6,49,122
6,50,123
6,51,123
6,52,124
6,53,124
6,54,124
6,55,124
6,56,125
6,57,126
6,60,127
6,63,128
6,65,129
6,68,130
6,69,131
6,70,131
6,71,131
6,72,132
6,73,132
6,74,133
6,75,133
6,76,133
6,77,134
6,78,134
6,79,134
6,80,134
6,81,135
6,82,135
6,83,135
7,39,119
7,40,119
7,41,119
7,42,120
7,43,120
7,44,120
7,45,121
7,46,121
7,47,121
7,48,122
7,49,122
7,50,122
7,51,123
7,53,124
7,71,131
7,73,132
7,74,133
7,75,133
7,76,133
7,77,134
7,78,134
7,79,134
7,80,135
7,81,135
7,82,135
7,83,136
7,84,136
7,85,136
8,39,119
8,40,119
8,41,119
8,42,120
8,43,120
8,44,120
8,45,121
8,46,121
8,47,121
8,48,121
8,76,134
8,77,134
8,78,134
8,79,135
8,80,135
8,81,135
8,82,135
8,83,136
8,84,136
8,85,137
8,86,137
9,37,118
9,38,118
9,39,119
9,40,119
9,41,119
9,42,119
9,43,120
9,44,120
9,45,121
9,46,121
9,47,121
9,48,121
9,78,134
9,79,135
9,80,135
9,81,135
9,82,136
9,83,136
9,84,137
9,85,137
9,86,138
9,87,138
9,88,138
10,37,118
10,38,118
10,39,118
10,40,119
10,41,119
10,42,119
10,43,120
10,44,120
10,45,120
10,46,121
10,79,135
10,80,135
10,81,135
10,82,136
10,83,137
10,84,137
10,85,137
10,86,138
10,87,138
10,88,138
11,35,117
11,36,117
11,37,118
11,38,118
11,39,118
11,40,118
11,41,119
11,42,119
11,43,119
11,81,136
11,82,137
11,83,137
11,84,137
11,85,138
11,86,138
11,87,138
11,88,139
11,89,139
11,90,139
12,35,117
12,36,117
12,37,117
12,38,118
12,39,118
12,40,118
12,41,118
12,82,137
12,83,137
12,84,137
12,85,138
12,86,138
12,87,139
12,88,139
12,89,139
12,90,139
13,33,116
13,34,116
13,35,117
13,36,117
13,37,117
13,38,117
13,39,118
13,40,118
13,41,118
13,84,138
13,85,138
13,86,139
13,87,139
13,88,139
13,89,139
13,90,140
13,91,140
13,92,140
14,33,116
14,34,116
14,35,116
14,36,117
14,37,117
14,38,117
14,39,117
14,86,139
14,87,139
14,88,139
14,89,140
14,90,140
14,91,140
14,92,140
15,31,115
15,32,115
15,33,116
15,34,116
15,35,116
15,36,116
15,37,117
15,38,117
15,39,117
15,86,139
15,87,139
15,88,140
15,89,140
15,90,140
15,91,140
15,92,141
15,93,141
15,94,141
16,31,115
16,32,115
16,33,115
16,34,116
16,35,116
16,36,116
16,37,116
16,88,140
16,89,140
16,90,140
16,91,141
16,92,141
16,93,141
16,94,141
17,29,114
17,30,114
17,31,115
17,32,115
17,33,115
17,34,115
17,35,116
17,36,116
17,37,116
17,63,85
17,66,84
17,88,140
17,89,140
17,90,141
17,91,141
17,92,141
17,93,141
17,94,141
17,95,141
18,28,113
18,29,114
18,30,114
18,31,114
18,32,115
18,33,115
18,34,115
18,35,115
18,61,85
18,62,85
18,63,85
18,64,85
18,65,84
18,66,84
18,67,84
18,68,84
18,90,141
18,91,141
18,92,141
18,93,141
18,94,142
18,95,142
19,28,113
19,29,113
19,30,114
19,31,114
19,32,114
19,33,115
19,34,115
19,35,115
19,58,87
19,59,86
19,60,86
19,61,86
19,62,85
19,63,85
19,64,85
19,65,84
19,66,84
19,67,84
19,68,83
19,69,83
19,70,83
19,90,141
19,91,142
19,92,142
19,93,142
19,94,142
19,95,142
20,27,113
20,28,113
20,29,113
20,30,113
20,31,114
20,32,114
20,33,114
20,56,87
20,57,87
20,58,87
20,59,87
20,60,86
20,61,86
20,62,85
20,63,85
20,64,85
20,65,84
20,66,84
20,67,84
20,68,83
20,69,83
20,70,83
20,90,142
20,91,142
20,92,142
20,93,142
20,94,142
20,95,143
20,96,143
20,97,143
21,27,112
21,28,113
21,29,113
21,30,113
21,31,113
21,32,114
21,33,114
21,56,87
21,57,87
21,58,87
21,59,87
21,60,86
21,61,86
21,62,86
21,63,85
21,64,85
21,65,84
21,66,84
21,67,83
21,68,83
21,69,83
21,70,83
21,71,82
21,72,82
21,91,142
21,92,142
21,93,142
21,94,143
21,95,143
21,96,143
21,97,143
22,27,112
22,28,112
22,29,112
22,30,112
22,31,113
22,32,113
22,54,88
22,55,88
22,56,88
22,57,87
22,58,87
22,59,87
22,60,86
22,61,86
22,62,86
22,63,85
22,64,85
22,65,84
22,66,84
22,67,83
22,68,83
22,69,83
22,70,82
22,71,82
22,72,82
22,91,142
22,92,142
22,93,143
22,94,143
22,95,143
22,96,143
22,97,143
22,98,144
23,26,111
23,27,112
23,28,112
23,29,112
23,30,112
23,31,112
23,32,112
23,54,88
23,55,88
23,56,88
23,57,88
23,58,87
23,59,87
23,60,87
23,61,86
23,62,86
23,63,86
23,66,83
23,67,83
23,68,83
23,69,82
23,70,82
23,71,82
23,72,82
23,73,82
23,93,143
23,94,143
23,95,143
23,96,144
23,97,144
23,98,144
24,26,111
24,27,111
24,28,111
24,29,112
24,30,112
24,31,112
24,53,89
24,54,88
24,55,88
24,56,88
24,57,88
24,58,88
24,59,87
24,60,87
24,61,86
24,68,82
24,69,82
24,70,82
24,71,82
24,72,82
24,93,143
24,94,144
24,95,144
24,96,144
24,97,144
24,98,144
24,99,144
25,25,110
25,26,111
25,27,111
25,28,111
25,29,111
25,30,111
25,31,112
25,53,89
25,54,89
25,55,89
25,56,88
25,57,88
25,58,88
25,68,81
25,69,81
25,70,81
25,71,81
25,72,81
25,94,144
25,95,144
25,96,144
25,97,144
25,98,145
25,99,145
26,25,110
26,26,110
26,27,110
26,28,111
26,29,111
26,30,111
26,51,90
26,52,90
26,53,90
26,54,89
26,55,89
26,56,89
26,57,89
26,58,88
26,67,80
26,68,81
26,69,81
26,70,81
26,71,81
26,72,81
26,73,81
26,94,144
26,95,145
26,96,145
26,97,145
26,98,145
26,99,145
27,24,110
27,25,110
27,26,110
27,27,110
27,28,110
27,29,110
27,30,111
27,50,91
27,51,91
27,52,90
27,53,90
27,54,90
27,55,89
27,56,89
27,57,89
27,67,80
27,68,80
27,69,80
27,70,81
27,71,81
27,72,81
27,94,145
27,95,145
27,96,145
27,97,145
27,98,145
27,99,145
27,100,145
28,24,109
28,25,110
28,26,110
28,27,110
28,28,110
28,29,110
28,50,91
28,51,91
28,52,91
28,53,90
28,54,90
28,55,90
28,56,89
28,57,89
28,66,80
28,67,80
28,68,80
28,69,80
28,70,80
28,71,80
28,72,81
28,95,145
28,96,145
28,97,145
28,98,145
28,99,146
28,100,146
29,24,109
29,25,109
29,26,109
29,27,109
29,28,110
29,29,110
29,49,91
29,50,91
29,51,91
29,52,91
29,53,91
29,54,90
29,55,90
29,67,80
29,68,80
29,69,80
29,70,80
29,71,80
29,95,145
29,96,146
29,97,146
29,98,146
29,99,146
29,100,146
30,23,108
30,24,109
30,25,109
30,26,109
30,27,109
30,28,109
30,29,109
30,48,92
30,49,92
30,50,92
30,51,91
30,52,91
30,53,91
30,54,91
30,55,90
30,65,78
30,66,78
30,67,79
30,68,79
30,69,79
30,70,79
30,71,79
30,72,79
30,95,146
30,96,146
30,97,146
30,98,146
30,99,146
30,100,146
30,101,147
31,23,108
31,24,108
31,25,108
31,26,109
31,27,109
31,28,109
31,48,92
31,49,92
31,50,92
31,51,92
31,52,91
31,53,91
31,54,91
31,65,78
31,66,78
31,67,78
31,68,79
31,69,79
31,70,79
31,71,79
31,96,146
31,97,146
31,98,146
31,99,147
31,100,147
31,101,147
32,22,108
32,23,108
32,24,108
32,25,108
32,26,108
32,27,108
32,28,109
32,46,93
32,47,93
32,48,93
32,49,92
32,50,92
32,51,92
32,52,92
32,53,92
32,64,77
32,65,78
32,66,78
32,67,78
32,68,78
32,69,79
32,70,79
32,71,79
32,96,146
32,97,147
32,98,147
32,99,147
32,100,147
32,101,147
33,22,107
33,23,108
33,24,108
33,25,108
33,26,108
33,27,108
33,46,93
33,47,93
33,48,93
33,49,93
33,50,92
33,51,92
33,52,92
33,63,76
33,64,77
33,65,77
33,66,77
33,67,78
33,68,78
33,69,78
33,97,148
33,98,148
33,99,148
33,100,148
33,101,148
34,22,107
34,23,107
34,24,107
34,25,107
34,26,108
34,27,108
34,45,94
34,46,93
34,47,93
34,48,93
34,49,93
34,50,93
34,51,92
34,52,92
34,61,76
34,62,76
34,63,76
34,64,77
34,65,77
34,66,77
34,67,77
34,68,77
34,69,78
34,96,148
34,97,148
34,98,148
34,99,148
34,100,148
34,101,148
35,21,107
35,22,107
35,23,107
35,24,107
35,25,107
35,26,107
35,27,107
35,45,94
35,46,94
35,47,94
35,48,93
35,49,93
35,50,93
35,61,76
35,62,76
35,63,76
35,64,76
35,65,77
35,66,77
35,67,77
35,68,77
35,97,149
35,98,149
35,99,149
35,100,149
35,101,149
36,22,107
36,23,107
36,24,107
36,25,107
36,26,107
36,27,106
36,43,95
36,44,95
36,45,95
36,46,94
36,47,94
36,48,94
36,49,94
36,50,93
36,60,75
36,61,76
36,62,76
36,63,76
36,64,76
36,65,76
36,66,77
36,67,77
36,68,77
36,96,149
36,97,149
36,98,149
36,99,149
36,100,149
36,101,149
37,22,107
37,23,107
37,24,106
37,25,106
37,26,106
37,27,106
37,43,95
37,44,95
37,45,95
37,46,95
37,47,94
37,48,94
37,49,94
37,59,74
37,60,75
37,61,75
37,62,75
37,63,76
37,64,76
37,65,76
37,66,77
37,97,149
37,98,149
37,99,149
37,100,149
37,101,150
38,22,106
38,23,106
38,24,106
38,25,106
38,26,106
38,27,106
38,28,106
38,41,96
38,42,96
38,43,96
38,44,95
38,45,95
38,46,95
38,47,95
38,48,94
38,49,94
38,57,74
38,58,74
38,59,74
38,60,75
38,61,75
38,62,75
38,63,75
38,64,75
38,65,76
38,97,149
38,98,150
38,99,150
38,100,150
38,101,150
39,23,106
39,24,106
39,25,106
39,26,106
39,27,106
39,41,96
39,42,96
39,43,96
39,44,96
39,45,95
39,46,95
39,47,95
39,55,73
39,56,73
39,57,73
39,58,74
39,59,74
39,60,74
39,61,75
39,62,75
39,63,75
39,64,75
39,97,150
39,98,150
39,99,150
39,100,150
39,101,150
40,22,105
40,23,105
40,24,105
40,25,105
40,26,105
40,27,105
40,28,105
40,39,97
40,40,97
40,41,97
40,42,96
40,43,96
40,44,96
40,45,96
40,46,95
40,47,95
40,55,73
40,56,73
40,57,73
40,58,74
40,59,74
40,60,74
40,61,74
40,62,75
40,63,75
40,64,75
40,98,150
40,99,150
40,100,150
40,101,150
41,23,105
41,24,105
41,25,105
41,26,105
41,27,104
41,28,104
41,29,104
41,39,97
41,40,97
41,41,97
41,42,97
41,43,96
41,44,96
41,45,96
41,54,73
41,55,73
41,56,73
41,57,73
41,58,73
41,59,74
41,60,74
41,61,74
41,62,75
41,98,151
41,99,151
41,100,151
41,101,151
42,23,105
42,24,105
42,25,105
42,26,104
42,27,104
42,28,104
42,29,104
42,37,98
42,38,98
42,39,98
42,40,97
42,41,97
42,42,97
42,43,97
42,44,96
42,45,96
42,54,72
42,55,73
42,56,73
42,57,73
42,58,73
42,59,74
42,60,74
42,61,74
42,97,151
42,98,151
42,99,151
42,100,151
42,101,151
43,24,104
43,25,104
43,26,104
43,27,104
43,28,104
43,29,104
43,30,103
43,31,103
43,35,99
43,36,99
43,37,99
43,38,98
43,39,98
43,40,98
43,41,97
43,42,97
43,43,97
43,54,72
43,55,72
43,56,72
43,57,72
43,58,73
43,59,73
43,98,152
43,99,152
43,100,152
43,101,152
44,25,104
44,26,104
44,27,104
44,28,104
44,29,103
44,30,103
44,31,102
44,32,102
44,33,102
44,35,99
44,36,99
44,37,99
44,38,98
44,39,98
44,40,98
44,41,98
44,42,97
44,43,97
44,52,71
44,53,71
44,54,72
44,55,72
44,56,72
44,57,72
44,58,72
44,59,72
44,97,152
44,98,152
44,99,152
44,100,152
44,101,152
45,25,104
45,26,104
45,27,104
45,28,103
45,29,103
45,30,103
45,31,102
45,32,102
45,33,102
45,34,100
45,35,100
45,36,99
45,37,99
45,38,99
45,39,98
45,40,98
45,41,98
45,52,71
45,53,71
45,54,71
45,55,72
45,56,72
45,57,72
45,58,72
45,98,152
45,99,152
45,100,152
45,101,152
46,27,103
46,28,103
46,29,103
46,30,102
46,31,102
46,32,102
46,33,101
46,34,100
46,35,100
46,36,100
46,37,99
46,38,99
46,39,98
46,40,98
46,41,98
46,51,70
46,52,71
46,53,71
46,54,71
46,55,71
46,56,72
46,57,72
46,58,72
46,98,153
46,99,153
46,100,153
46,101,153
47,27,103
47,28,103
47,29,103
47,30,102
47,31,102
47,32,101
47,33,101
47,34,100
47,35,100
47,36,100
47,37,100
47,38,99
47,39,99
47,51,70
47,52,70
47,53,70
47,54,71
47,55,71
47,56,71
47,97,153
47,98,153
47,99,153
47,100,153
47,101,153
48,29,102
48,30,102
48,31,101
48,32,101
48,33,101
48,34,100
48,35,100
48,36,100
48,37,100
48,49,69
48,50,69
48,51,70
48,52,70
48,53,70
48,54,70
48,55,70
48,56,71
48,98,153
48,99,153
48,100,153
48,101,153
49,30,101
49,31,101
49,32,101
49,33,101
49,34,100
49,35,100
49,36,100
49,37,100
49,49,69
49,50,69
49,51,69
49,52,70
49,53,70
49,54,70
49,55,70
49,98,154
49,99,154
49,100,154
49,101,154
50,32,101
50,35,100
50,48,69
50,49,69
50,50,69
50,51,69
50,52,69
50,53,70
50,54,70
50,55,70
50,97,154
50,98,154
